"milestone_id","need_id","date","label","status","decider","venue","basis","source_id"
"oakridge-cip-adopted","oakridge-hvac","2026-06-18","School Board adopts FY2027-36 CIP including Oakridge HVAC replacement and $80M bond request","done","School Board","School Board meeting","fact","cip-fy27-36"
"oakridge-county-cip","oakridge-hvac","2026-07-21","County Board adopts County CIP containing the bond projects","done","County Board","County Board meeting","fact","county-bond-2026"
"oakridge-referendum","oakridge-hvac","2026-11-03","Voters decide $80M school bond (Question 4) incl. $31M Oakridge Refresh","next","Arlington voters","General election","fact","county-bond-2026"
"oakridge-construction-start","oakridge-hvac","2027-06-01","HVAC replacement implementation begins","later","APS Facilities and Operations","Site","estimate","cip-fy27-36"
"oakridge-complete","oakridge-hvac","2029-01-01","Implementation scheduled to end during 2029 (CIP planning estimate)","later","APS Facilities and Operations","Site","estimate","cip-fy27-36"
