"school_id","name","district","status","notes"
"oakridge","Oakridge Elementary School","Arlington Public Schools","live",""
"jamestown","Jamestown Elementary School","Arlington Public Schools","draft","Named in Question 4 beside Oakridge. Not yet verified with APS."
"hoffman-boston","Hoffman-Boston Elementary School","Arlington Public Schools","draft","Already funded; which stage it is in today is our reading of the CIP, not confirmed."
"ashlawn","Ashlawn Elementary School","Arlington Public Schools","draft","CIP says construction completes August 2026; completion not confirmed."
